DEBUG 2022-04-27 13:54:42,245 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - TFCLPortal.Applications.Dto.ApplicationListDto
INFO  2022-04-27 13:55:01,439 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method TFCLPortal.Web.Controllers.AccountController.Login (TFCLPortal.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.ViewResult in 66.8916ms.
INFO  2022-04-27 13:55:01,901 [6    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view Login.
INFO  2022-04-27 13:55:03,248 [6    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view Login executed in 1417.9795ms.
INFO  2022-04-27 13:55:03,261 [6    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action TFCLPortal.Web.Controllers.AccountController.Login (TFCLPortal.Web.Mvc) in 6354.4915ms
INFO  2022-04-27 13:55:03,288 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 13218.8847ms 200 text/html; charset=utf-8
INFO  2022-04-27 13:55:03,344 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpServiceProxies/GetAll?v=637866644820615907  
INFO  2022-04-27 13:55:03,346 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpScripts/GetScripts?v=637866644820615907  
INFO  2022-04-27 13:55:03,375 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetAll", controller = "AbpServiceProxies", area = ""}. Executing action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)
INFO  2022-04-27 13:55:03,382 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetScripts", controller = "AbpScripts", area = ""}. Executing action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)
INFO  2022-04-27 13:55:03,396 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) with arguments (, False) - Validation state: Valid
INFO  2022-04-27 13:55:03,459 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) with arguments (Abp.AspNetCore.Mvc.Proxying.ApiProxyGenerationModel) - Validation state: Valid
INFO  2022-04-27 13:55:03,829 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 366.5326ms.
INFO  2022-04-27 13:55:03,842 [14   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript
INFO  2022-04-27 13:55:03,863 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) in 485.6775ms
INFO  2022-04-27 13:55:03,900 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 520.7886ms 200 application/x-javascript
INFO  2022-04-27 13:55:04,053 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 654.3006ms.
INFO  2022-04-27 13:55:04,081 [14   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2022-04-27 13:55:04,088 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 699.1433ms
INFO  2022-04-27 13:55:04,092 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 745.9327ms 200 application/x-javascript; charset=utf-8
INFO  2022-04-27 13:55:33,635 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/CustomerAccount/CreditForm?AccountId=3  
INFO  2022-04-27 13:55:33,647 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "CreditForm", controller = "CustomerAccount", area = ""}. Executing action TFCLPortal.Web.Controllers.CustomerAccountController.CreditForm (TFCLPortal.Web.Mvc)
INFO  2022-04-27 13:55:48,752 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/CustomerAccount/CreditForm?AccountId=2  
INFO  2022-04-27 13:55:50,470 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "CreditForm", controller = "CustomerAccount", area = ""}. Executing action TFCLPortal.Web.Controllers.CustomerAccountController.CreditForm (TFCLPortal.Web.Mvc)
INFO  2022-04-27 13:55:51,376 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method TFCLPortal.Web.Controllers.CustomerAccountController.CreditForm (TFCLPortal.Web.Mvc) with arguments (3) - Validation state: Valid
INFO  2022-04-27 13:55:51,390 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method TFCLPortal.Web.Controllers.CustomerAccountController.CreditForm (TFCLPortal.Web.Mvc) with arguments (2) - Validation state: Valid
INFO  2022-04-27 13:55:51,882 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method TFCLPortal.Web.Controllers.CustomerAccountController.CreditForm (TFCLPortal.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.ViewResult in 503.6091ms.
INFO  2022-04-27 13:55:51,884 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method TFCLPortal.Web.Controllers.CustomerAccountController.CreditForm (TFCLPortal.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.ViewResult in 489.733ms.
INFO  2022-04-27 13:55:52,271 [15   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view CreditForm.
INFO  2022-04-27 13:55:52,279 [16   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view CreditForm.
INFO  2022-04-27 13:55:54,628 [16   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view CreditForm executed in 2348.4684ms.
INFO  2022-04-27 13:55:54,630 [15   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view CreditForm executed in 2356.3387ms.
INFO  2022-04-27 13:55:54,632 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action TFCLPortal.Web.Controllers.CustomerAccountController.CreditForm (TFCLPortal.Web.Mvc) in 20983.076ms
INFO  2022-04-27 13:55:54,634 [15   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action TFCLPortal.Web.Controllers.CustomerAccountController.CreditForm (TFCLPortal.Web.Mvc) in 4160.6631ms
INFO  2022-04-27 13:55:54,637 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 5886.3389ms 200 text/html; charset=utf-8
INFO  2022-04-27 13:55:54,638 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 21000.6588ms 200 text/html; charset=utf-8
INFO  2022-04-27 13:55:54,676 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/scss/_jquerydatatable.scss?v=kFTqMQe9I4ok3-24yvMoVYLlQdSDIpUYRxNup2k0SNk  
INFO  2022-04-27 13:55:54,696 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 18.5418ms 404 
INFO  2022-04-27 13:55:54,737 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/scss/_jquerydatatable.scss?v=kFTqMQe9I4ok3-24yvMoVYLlQdSDIpUYRxNup2k0SNk  
INFO  2022-04-27 13:55:54,744 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 7.1372ms 404 
INFO  2022-04-27 13:55:54,852 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpServiceProxies/GetAll?v=637866644820615907  
INFO  2022-04-27 13:55:54,864 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpScripts/GetScripts?v=637866644820615907  
INFO  2022-04-27 13:55:54,866 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetAll", controller = "AbpServiceProxies", area = ""}. Executing action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)
INFO  2022-04-27 13:55:54,876 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) with arguments (Abp.AspNetCore.Mvc.Proxying.ApiProxyGenerationModel) - Validation state: Valid
INFO  2022-04-27 13:55:54,881 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 0.3222ms.
INFO  2022-04-27 13:55:54,884 [14   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript
INFO  2022-04-27 13:55:54,887 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetScripts", controller = "AbpScripts", area = ""}. Executing action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)
INFO  2022-04-27 13:55:54,897 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) with arguments (, False) - Validation state: Valid
INFO  2022-04-27 13:55:54,927 [15   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) in 56.4915ms
INFO  2022-04-27 13:55:54,929 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 77.2034ms 200 application/x-javascript
INFO  2022-04-27 13:55:54,932 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 33.3788ms.
INFO  2022-04-27 13:55:54,934 [12   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2022-04-27 13:55:54,936 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 47.2181ms
INFO  2022-04-27 13:55:54,939 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 76.1279ms 200 application/x-javascript; charset=utf-8
INFO  2022-04-27 13:55:55,147 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:62114/Dashboard/getNotificationsCount  0
INFO  2022-04-27 13:55:55,156 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "getNotificationsCount", controller = "Dashboard", area = ""}. Executing action TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc)
INFO  2022-04-27 13:55:55,302 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpServiceProxies/GetAll?v=637866644820615907  
INFO  2022-04-27 13:55:55,305 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpScripts/GetScripts?v=637866644820615907  
INFO  2022-04-27 13:55:58,849 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetScripts", controller = "AbpScripts", area = ""}. Executing action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)
INFO  2022-04-27 13:55:58,852 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) with arguments (, False) - Validation state: Valid
INFO  2022-04-27 13:55:58,854 [18   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetAll", controller = "AbpServiceProxies", area = ""}. Executing action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)
INFO  2022-04-27 13:55:58,856 [18   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) with arguments (Abp.AspNetCore.Mvc.Proxying.ApiProxyGenerationModel) - Validation state: Valid
INFO  2022-04-27 13:55:58,858 [18   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 0.04ms.
INFO  2022-04-27 13:55:58,859 [18   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript
INFO  2022-04-27 13:55:58,863 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) in 6.9911ms
INFO  2022-04-27 13:55:58,865 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 3564.0098ms 200 application/x-javascript
INFO  2022-04-27 13:55:58,875 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 21.1265ms.
INFO  2022-04-27 13:55:58,877 [13   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2022-04-27 13:55:58,879 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 27.8907ms
INFO  2022-04-27 13:55:58,881 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 3576.096ms 200 application/x-javascript; charset=utf-8
INFO  2022-04-27 13:55:58,892 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:62114/Dashboard/getNotificationsCount  0
INFO  2022-04-27 13:55:58,899 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "getNotificationsCount", controller = "Dashboard", area = ""}. Executing action TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc)
INFO  2022-04-27 13:56:08,006 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:62114/CustomerAccount/Credit application/x-www-form-urlencoded 412
INFO  2022-04-27 13:56:08,866 [18   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Credit", controller = "CustomerAccount", area = ""}. Executing action TFCLPortal.Web.Controllers.CustomerAccountController.Credit (TFCLPortal.Web.Mvc)
INFO  2022-04-27 13:56:16,223 [18   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method TFCLPortal.Web.Controllers.CustomerAccountController.Credit (TFCLPortal.Web.Mvc) with arguments (TFCLPortal.Transactions.Dto.CreateTransactionDto) - Validation state: Valid
INFO  2022-04-27 13:56:17,468 [18   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method TFCLPortal.Web.Controllers.CustomerAccountController.Credit (TFCLPortal.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.RedirectToActionResult in 1243.3524ms.
INFO  2022-04-27 13:56:17,696 [19   ] ft.AspNetCore.Mvc.RedirectToActionResult - Executing RedirectResult, redirecting to /CustomerAccount/ViewTransactions?accountid=2.
INFO  2022-04-27 13:56:17,700 [19   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action TFCLPortal.Web.Controllers.CustomerAccountController.Credit (TFCLPortal.Web.Mvc) in 8831.9801ms
INFO  2022-04-27 13:56:17,702 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 9696.4895ms 302 
INFO  2022-04-27 13:56:17,708 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/CustomerAccount/ViewTransactions?accountid=2  
INFO  2022-04-27 13:56:18,838 [10   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "ViewTransactions", controller = "CustomerAccount", area = ""}. Executing action TFCLPortal.Web.Controllers.CustomerAccountController.ViewTransactions (TFCLPortal.Web.Mvc)
INFO  2022-04-27 13:56:22,690 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/scss/_jquerydatatable.scss?v=kFTqMQe9I4ok3-24yvMoVYLlQdSDIpUYRxNup2k0SNk  
INFO  2022-04-27 13:56:22,782 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/Theame/js/bootstrap.js.map  
INFO  2022-04-27 13:56:22,795 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/Theame/js/highcharts.js.map  
INFO  2022-04-27 13:56:22,995 [15   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/Theame/js/bootstrap.js.map'. Physical path: 'F:\Code\TFCLPortal\src\TFCLPortal.Web.Mvc\wwwroot\Theame\js\bootstrap.js.map'
INFO  2022-04-27 13:56:22,998 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 215.3435ms 200 text/plain
INFO  2022-04-27 13:56:24,500 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1813.6665ms 404 
INFO  2022-04-27 13:56:24,506 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1707.3107ms 404 
INFO  2022-04-27 13:56:27,860 [10   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method TFCLPortal.Web.Controllers.CustomerAccountController.ViewTransactions (TFCLPortal.Web.Mvc) with arguments (2) - Validation state: Valid
INFO  2022-04-27 13:56:31,418 [10   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method TFCLPortal.Web.Controllers.CustomerAccountController.ViewTransactions (TFCLPortal.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.ViewResult in 3556.5784ms.
INFO  2022-04-27 13:56:32,675 [19   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view ViewTransactions.
INFO  2022-04-27 13:56:32,747 [19   ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view ViewTransactions executed in 73.3919ms.
INFO  2022-04-27 13:56:32,748 [19   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action TFCLPortal.Web.Controllers.CustomerAccountController.ViewTransactions (TFCLPortal.Web.Mvc) in 13908.9966ms
INFO  2022-04-27 13:56:32,750 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 15041.7303ms 200 text/html; charset=utf-8
INFO  2022-04-27 13:56:32,773 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/scss/_jquerydatatable.scss?v=kFTqMQe9I4ok3-24yvMoVYLlQdSDIpUYRxNup2k0SNk  
INFO  2022-04-27 13:56:32,818 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpServiceProxies/GetAll?v=637866644820615907  
INFO  2022-04-27 13:56:33,545 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 771.7125ms 404 
INFO  2022-04-27 13:56:33,548 [15   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetAll", controller = "AbpServiceProxies", area = ""}. Executing action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore)
INFO  2022-04-27 13:56:33,552 [15   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) with arguments (Abp.AspNetCore.Mvc.Proxying.ApiProxyGenerationModel) - Validation state: Valid
INFO  2022-04-27 13:56:33,555 [15   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 0.0874ms.
INFO  2022-04-27 13:56:33,557 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/AbpScripts/GetScripts?v=637866644820615907  
INFO  2022-04-27 13:56:33,559 [15   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript
INFO  2022-04-27 13:56:33,563 [19   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Proxying.AbpServiceProxiesController.GetAll (Abp.AspNetCore) in 12.4611ms
INFO  2022-04-27 13:56:33,565 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 745.8459ms 200 application/x-javascript
INFO  2022-04-27 13:56:33,571 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "GetScripts", controller = "AbpScripts", area = ""}. Executing action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore)
INFO  2022-04-27 13:56:33,574 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) with arguments (, False) - Validation state: Valid
INFO  2022-04-27 13:56:34,814 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore), returned result Microsoft.AspNetCore.Mvc.ContentResult in 1238.0323ms.
INFO  2022-04-27 13:56:34,817 [13   ] Mvc.Infrastructure.ContentResultExecutor - Executing ContentResult with HTTP Response ContentType of application/x-javascript; charset=utf-8
INFO  2022-04-27 13:56:34,820 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action Abp.AspNetCore.Mvc.Controllers.AbpScriptsController.GetScripts (Abp.AspNetCore) in 1245.5349ms
INFO  2022-04-27 13:56:34,823 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 1265.9032ms 200 application/x-javascript; charset=utf-8
INFO  2022-04-27 13:56:34,834 [19   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:62114/Dashboard/getNotificationsCount  0
INFO  2022-04-27 13:56:38,349 [19   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "getNotificationsCount", controller = "Dashboard", area = ""}. Executing action TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc)
INFO  2022-04-27 13:57:07,441 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc) - Validation state: Valid
INFO  2022-04-27 13:57:07,442 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc) - Validation state: Valid
INFO  2022-04-27 13:57:07,507 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.JsonResult in 63.6085ms.
INFO  2022-04-27 13:57:07,508 [16   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action method TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.JsonResult in 62.834ms.
INFO  2022-04-27 13:57:07,641 [13   ] matters.Json.Internal.JsonResultExecutor - Executing JsonResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
INFO  2022-04-27 13:57:07,662 [14   ] matters.Json.Internal.JsonResultExecutor - Executing JsonResult, writing value of type 'Abp.Web.Models.AjaxResponse'.
INFO  2022-04-27 13:57:07,773 [19   ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc) - Validation state: Valid
INFO  2022-04-27 13:57:07,891 [13   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc) in 72730.9741ms
INFO  2022-04-27 13:57:07,892 [14   ] ore.Mvc.Internal.ControllerActionInvoker - Executed action TFCLPortal.Web.Mvc.Controllers.DashboardController.getNotificationsCount (TFCLPortal.Web.Mvc) in 68987.6875ms
INFO  2022-04-27 13:57:07,894 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 69002.22ms 200 application/json; charset=utf-8
